Part;TimeStep [s];Nout;Nout_Pos;Nout_Rhop;Nout_Vel;Nout_Unknown
43;0.430003;43;0;43;0;0
44;0.440008;8;0;8;0;0
45;0.450002;3;0;3;0;0
46;0.460002;20;0;20;0;0
47;0.470005;77;0;77;0;0
48;0.480010;63;0;63;0;0
49;0.490012;110;0;110;0;0
50;0.500004;113;0;113;0;0
51;0.510001;94;0;94;0;0
52;0.520005;51;0;51;0;0
53;0.530002;76;0;76;0;0
54;0.540000;52;0;52;0;0
55;0.550002;78;0;78;0;0
56;0.560007;27;0;27;0;0
57;0.570002;46;0;46;0;0
58;0.580000;23;1;22;0;0
59;0.590007;32;9;23;0;0
60;0.600007;46;8;38;0;0
61;0.610001;68;16;52;0;0
62;0.620001;54;14;40;0;0
63;0.630005;84;27;57;0;0
64;0.640014;67;27;40;0;0
65;0.650011;74;39;35;0;0
66;0.660010;60;38;22;0;0
67;0.670008;62;38;24;0;0
68;0.680011;63;39;24;0;0
69;0.690012;42;30;12;0;0
70;0.700006;14;2;12;0;0
71;0.710008;4;1;3;0;0
72;0.720004;7;3;4;0;0
73;0.730006;30;4;26;0;0
74;0.740002;80;1;79;0;0
75;0.750005;68;4;64;0;0
76;0.760016;105;13;92;0;0
77;0.770004;41;16;25;0;0
78;0.780006;24;14;10;0;0
79;0.790019;25;19;6;0;0
80;0.800003;21;16;5;0;0
81;0.810007;18;17;1;0;0
82;0.820009;28;22;6;0;0
83;0.830002;26;22;4;0;0
84;0.840018;21;18;3;0;0
85;0.850008;24;23;1;0;0
86;0.860017;24;21;3;0;0
87;0.870010;41;37;4;0;0
88;0.880008;34;31;3;0;0
89;0.890000;63;29;34;0;0
90;0.900001;68;24;44;0;0
91;0.910003;31;13;18;0;0
92;0.920004;103;9;94;0;0
93;0.930016;17;2;15;0;0
94;0.940001;27;3;24;0;0
95;0.950016;37;0;37;0;0
96;0.960017;57;0;57;0;0
97;0.970034;47;6;41;0;0
98;0.980012;36;0;36;0;0
99;0.990001;29;0;29;0;0
100;1.000010;2;0;2;0;0
