Part;TimeStep [s];Nout;Nout_Pos;Nout_Rhop;Nout_Vel;Nout_Unknown
43;0.430015;36;0;36;0;0
44;0.440003;23;0;23;0;0
45;0.450003;2;0;2;0;0
46;0.460012;17;0;17;0;0
47;0.470001;40;0;40;0;0
48;0.480008;23;0;23;0;0
49;0.490014;42;0;42;0;0
50;0.500001;34;0;34;0;0
51;0.510017;29;0;29;0;0
52;0.520016;36;0;36;0;0
53;0.530013;53;0;53;0;0
54;0.540002;49;0;49;0;0
55;0.550001;70;0;70;0;0
56;0.560003;83;0;83;0;0
57;0.570010;49;0;49;0;0
58;0.580019;44;0;44;0;0
59;0.590001;103;0;103;0;0
60;0.600006;111;0;111;0;0
61;0.610000;44;0;44;0;0
62;0.620012;59;0;59;0;0
63;0.630004;79;0;79;0;0
64;0.640005;48;0;48;0;0
65;0.650011;52;16;36;0;0
66;0.660004;28;13;15;0;0
67;0.670013;20;4;16;0;0
68;0.680004;18;2;16;0;0
69;0.690006;16;8;8;0;0
70;0.700001;28;17;11;0;0
71;0.710001;24;11;13;0;0
72;0.720002;29;10;19;0;0
73;0.730008;49;0;49;0;0
74;0.740007;10;0;10;0;0
75;0.750003;23;0;23;0;0
76;0.760003;15;2;13;0;0
77;0.770003;20;13;7;0;0
78;0.780000;30;20;10;0;0
79;0.790001;46;33;13;0;0
80;0.800006;61;25;36;0;0
81;0.810012;37;24;13;0;0
82;0.820008;32;19;13;0;0
83;0.830013;31;17;14;0;0
84;0.840009;37;28;9;0;0
85;0.850003;30;18;12;0;0
86;0.860004;31;25;6;0;0
87;0.870011;29;22;7;0;0
88;0.880002;18;11;7;0;0
89;0.890001;27;13;14;0;0
90;0.900001;13;6;7;0;0
91;0.910004;23;5;18;0;0
92;0.920004;23;18;5;0;0
93;0.930016;38;29;9;0;0
94;0.940002;36;29;7;0;0
95;0.950003;11;0;11;0;0
96;0.960003;6;0;6;0;0
97;0.970003;3;0;3;0;0
98;0.980006;25;10;15;0;0
99;0.990009;26;18;8;0;0
100;1.000012;15;8;7;0;0
